text,sentiment
ABLE,positive
ABUNDANCE,positive
ABUNDANT,positive
ACCLAIMED,positive
ACCOMPLISH,positive
ACCOMPLISHED,positive
ACCOMPLISHES,positive
ACCOMPLISHING,positive
ACCOMPLISHMENT,positive
ACCOMPLISHMENTS,positive
ACHIEVE,positive
ACHIEVED,positive
ACHIEVEMENT,positive
ACHIEVEMENTS,positive
ACHIEVES,positive
ACHIEVING,positive
ADEQUATELY,positive
ADVANCEMENT,positive
ADVANCEMENTS,positive
ADVANCES,positive
ADVANCING,positive
ADVANTAGE,positive
ADVANTAGED,positive
ADVANTAGEOUS,positive
ADVANTAGEOUSLY,positive
ADVANTAGES,positive
ALLIANCE,positive
ALLIANCES,positive
ASSURE,positive
ASSURED,positive
ASSURES,positive
ASSURING,positive
ATTAIN,positive
ATTAINED,positive
ATTAINING,positive
ATTAINMENT,positive
ATTAINMENTS,positive
ATTAINS,positive
ATTRACTIVE,positive
ATTRACTIVENESS,positive
BEAUTIFUL,positive
BEAUTIFULLY,positive
BENEFICIAL,positive
BENEFICIALLY,positive
BENEFIT,positive
BENEFITED,positive
BENEFITING,positive
BENEFITTED,positive
BENEFITTING,positive
BEST,positive
BETTER,positive
BOLSTERED,positive
BOLSTERING,positive
BOLSTERS,positive
BOOM,positive
BOOMING,positive
BOOST,positive
BOOSTED,positive
BREAKTHROUGH,positive
BREAKTHROUGHS,positive
BRILLIANT,positive
CHARITABLE,positive
COLLABORATE,positive
COLLABORATED,positive
COLLABORATES,positive
COLLABORATING,positive
COLLABORATION,positive
COLLABORATIONS,positive
COLLABORATIVE,positive
COLLABORATOR,positive
COLLABORATORS,positive
COMPLIMENT,positive
COMPLIMENTARY,positive
COMPLIMENTED,positive
COMPLIMENTING,positive
COMPLIMENTS,positive
CONCLUSIVE,positive
CONCLUSIVELY,positive
CONDUCIVE,positive
CONFIDENT,positive
CONSTRUCTIVE,positive
CONSTRUCTIVELY,positive
COURTEOUS,positive
CREATIVE,positive
CREATIVELY,positive
CREATIVENESS,positive
CREATIVITY,positive
DELIGHT,positive
DELIGHTED,positive
DELIGHTFUL,positive
DELIGHTFULLY,positive
DELIGHTING,positive
DELIGHTS,positive
DEPENDABILITY,positive
DEPENDABLE,positive
DESIRABLE,positive
DESIRED,positive
DESPITE,positive
DESTINED,positive
DILIGENT,positive
DILIGENTLY,positive
DISTINCTION,positive
DISTINCTIONS,positive
DISTINCTIVE,positive
DISTINCTIVELY,positive
DISTINCTIVENESS,positive
DREAM,positive
EASIER,positive
EASILY,positive
EASY,positive
EFFECTIVE,positive
EFFICIENCIES,positive
EFFICIENCY,positive
EFFICIENT,positive
EFFICIENTLY,positive
EMPOWER,positive
EMPOWERED,positive
EMPOWERING,positive
EMPOWERS,positive
ENABLE,positive
ENABLED,positive
ENABLES,positive
ENABLING,positive
ENCOURAGED,positive
ENCOURAGEMENT,positive
ENCOURAGES,positive
ENCOURAGING,positive
ENHANCE,positive
ENHANCED,positive
ENHANCEMENT,positive
ENHANCEMENTS,positive
ENHANCES,positive
ENHANCING,positive
ENJOY,positive
ENJOYABLE,positive
